id,投稿内容,動画ファイルパス,文字数,稼ぎ,アカウント,アベ,場所,動画タイトル,動画の場所
11,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫群馬メンエス💫
🚨出稼ぎキャンセル枠4/11〜
✅アベ9万円前後の安定高収入
✅僕紹介雑費無料
✅広告にかなり力入れてるので集客〇
✅採用幅広め
✅90分9000～",/Users/yusaku/kakeru/動画/群馬メンエスアベ9OVER.mp4,115,群馬メンエスアベ9OVER,,9,群馬,"群馬メンエス
アベ9OVER",
12,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫沖縄メンエス💫
🚨出稼ぎキャンセル枠4/10〜
✅アベ10万円前後の安定高収入
✅女性講師による講習〇
✅移動なし
✅スタッフ常駐
✅60分8,000円＋オプションバック",/Users/yusaku/kakeru/動画/沖縄メンエスアベ10OVER.mp4,118,沖縄メンエスアベ10OVER,,10,沖縄,"沖縄メンエス
アベ10OVER",
13,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内メンエス💫
🚨出稼ぎキャンセル枠4/2〜
✅アベ6万円前後の安定収入
✅働きやすさ重視の方にオススメ
✅個人オプション可能
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅90分9,000円",/Users/yusaku/kakeru/動画/都内メンエスアベ6OVER.mp4,132,都内メンエスアベ6OVER,,6,都内,"都内メンエス
アベ6OVER",
14,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内抜きなしメンエス💫
🚨出稼ぎキャンセル枠4/8〜
✅アベ7超え連発
✅都内全域にルーム完備
✅個人オプション可能
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅70分7,500円＋オプションバック",/Users/yusaku/kakeru/動画/都内メンエスアベ7OVER.mp4,136,都内メンエスアベ7OVER,,7,都内,"都内メンエス
アベ7OVER",
15,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫広島メンエス💫
🚨出稼ぎキャンセル枠4/11〜
✅アベ8万円前後の安定高収入
✅雑費なし
✅SNS無しOK
✅顔出し無しOK
✅90分10,500円＋オプションバック",/Users/yusaku/kakeru/動画/広島メンエスアベ8OVER.mp4,116,広島メンエスアベ8OVER,,8,広島,"広島メンエス
アベ8OVER",
16,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫都内メンエス💫
🚨出稼ぎキャンセル枠4/11〜
✅アベ9万円前後の安定高収入
✅都内全域にルーム完備
✅個人オプション可能
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅70分9,500円＋オプションバック",/Users/yusaku/kakeru/動画/都内メンエスアベ9OVER.mp4,139,都内メンエスアベ9OVER,,9,都内,"都内メンエス
アベ9OVER",
17,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫京都メンエス💫
🚨出稼ぎキャンセル枠4/13〜
✅アベ8万円前後の安定高収入
✅京都全域にルーム完備
✅高確率でOP入る
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅70分9,500円＋オプションバック",/Users/yusaku/kakeru/動画/京都メンエスアベ8OVER.mp4,138,京都メンエスアベ8OVER,,8,京都,"京都メンエス
アベ8OVER",
18,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫大阪メンエス💫
🚨出稼ぎキャンセル枠4/11〜
✅アベ11万円以上
✅ヌード可能であればオススメ
✅エリアトップ店
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅70分10,500円＋オプションバック8000円",/Users/yusaku/kakeru/動画/大阪メンエスアベ11OVER.mp4,141,大阪メンエスアベ11OVER,,11,大阪,"大阪メンエス
アベ11OVER",
19,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫名古屋メンエス💫
🚨出稼ぎキャンセル枠4/14〜
✅アベ10万円前後の安定高収入
✅名古屋駅近くにルーム完備
✅個人OP可能
✅真面目に働きたい・しっかり稼ぎたい方におすすめ
✅70分9,500円＋オプションバック",/Users/yusaku/kakeru/動画/名古屋メンエスアベ10OVER.mp4,140,名古屋メンエスアベ10OVER,,10,名古屋,"名古屋メンエス
アベ10OVER",
20,"🔍出稼ぎメンエス｜在籍｜関東｜都内｜関西｜大阪｜名古屋
💫沖縄メンエス💫
🚨出稼ぎキャンセル枠4/3〜
✅アベ12万円前後の高収入
✅雑費なし
✅交通費無料
✅全国トップの稼ぎ
✅70分10,500円＋オプションバック",/Users/yusaku/kakeru/動画/沖縄メンエスアベ12OVER.mp4,113,沖縄メンエスアベ12OVER,,12,沖縄,"沖縄メンエス
アベ12OVER",
